,key,en-us,zh-cn,cs-cz,de-de,fr-fr,pt-br,ja-jp,ua-ua
240,Give nice review,Give nice review,给个好评,Napsat kladnou recenzi,Geben Sie eine schöne Bewertung ab,Donnez une belle critique,Me dê um elogio,素敵なレビューをする,Залишити гарний відгук
241,Do not show this again in current version,Do not show this again in current version,当前版本不再显示,Ve stávající verzi znovu nezobrazovat,In der aktuellen Version nicht mehr anzeigen,Ne plus l'afficher dans la version actuelle,Não mostrar isso novamente na versão atual,現在のバージョンではこれを再度表示しない,Більше не показувати це в поточній сессіїї
242,User profile,User profile,用户配置,Profil uživatele,Benutzerprofil,Profil de l'utilisateur,Perfil de usuário,ユーザープロフィール,Профіль користувача
243,Portable mode,Portable mode,便携模式,Přenosný režim,Tragbarer Modus,Mode portable,Modo portátil,携帯モード,Портативний режим
244,Profile is saved where executable is located,Profile is saved where executable is located,配置文件保存在可执行文件所在文件夹,"Profil je ukládán do stejného umístění, ve kterém se nachází aplikace","Das Profil wird dort gespeichert, wo sich die ausführbare Datei befindet",Le profil est enregistré là où est situé,O perfil é salvo onde o executável está localizado,実行可能ファイルがある場所にプロファイルが保存されます,Профіль був збережени біля бінарних файлів
245,Install for current windows account,Install for current windows account,为当前 Windows 用户配置,Nainstalovat pro stávající účet ve Windows,Installieren Sie für das aktuelle Windows -Konto,Installer pour le compte Windows actuel,Instale para a conta atual do Windows,現在の Windows アカウントにインストールする,Встановити поточний windows аккаунт
246,Profile is saved in your Windows AppData folder,Profile is saved in your Windows AppData folder,配置文件保存在 Windows AppData 文件夹,Profil je ukládán do složky AppData ve vašem účtu,Das Profil wird in Ihrem Windows AppData -Ordner gespeichert,Le profil est enregistré dans votre dossier Windows AppData,O perfil é salvo na sua pasta Windows AppData,プロファイルは Windows AppData フォルダーに保存されます,"Профіль був збережени до AppData, що знаходится в вашій домашній папці"
247,Selected runner,Selected runner,指定Runner,Vybraný spouštěč,Ausgewählter Läufer,Coureur sélectionné,Corredor selecionado,選ばれたランナー,Обрана сессія
248,Supports the Putty-key only,Supports the Putty-key only,仅支持 putty key,Podporuje pouze Putty-klíč,Unterstützt nur den Putty-Key,Prend en charge la clé Putty uniquement,Suporta apenas a chave Putty,Putty-key のみをサポート,Підтримує ключі тільки в форматі Putty
249,Supports the OpenSSH format key only with the internal SFTP client.,Supports the OpenSSH format key only with the internal SFTP client.,内置客户端仅支持 OpenSSH 格式私钥,Vestavěný SFTP klient podporuje klíče v OpenSSH formátu.,Unterstützt den Schlüssel im OpenSSH-Format nur mit dem internen SFTP-Client.,Prend en charge la clé au format OpenSSH uniquement avec le client SFTP interne.,Suporta a chave de formato OpenSSH apenas com o cliente SFTP interno.,内部 SFTP クライアントでのみ OpenSSH 形式のキーをサポートします。,Підтримує ключі в фоматі OpenSSH тільки з внутрішнім SFTP клієнтом
250,Supports the OpenSSH format key and Putty-key with WinSCP.,Supports the OpenSSH format key and Putty-key with WinSCP.,WinSCP 可支持 Putty 和 OpenSSH 两种格式私钥,Podporuje klíč v OpenSSH formátu a Putty-klíč s WinSCP.,Unterstützt den OpenSSH-Formatschlüssel und Putty-Key mit WinSCP.,Prend en charge la clé de format OpenSSH et la clé Putty avec WinSCP.,Suporta a chave de formato OpenSSH e a chave Putty com WinSCP.,WinSCP で OpenSSH 形式のキーと Putty キーをサポートします。,Підтримує ключі в фоматі OpenSSH та Putty разом з WinSCP
251,Login with password,Login with password,通过密码登录,Přihlásit se heslem,Login mit Passwort,Connectez-vous avec mot de passe,Entrar com senha,パスワードでログイン,Авторизуватись за допомогою паролю
252,Login with ssh private key,Login with ssh private key,通过私钥登录,Přihlásit se pomocí soukromého ssh klíče,Melden Sie sich mit dem privaten ssh-Schlüssel an,Connectez-vous avec la clé privée ssh,Login com chave privada ssh,ssh秘密鍵でログイン,Авторизуватись за допомогою приватного ssh-ключа
253,Environment variables,Environment variables,环境变量,Proměnné prostředí,Umgebungsvariablen,Variables d'environnement,Variáveis de ambiente,環境変数,Змінні осередку 
254,Before runner start the environment variables will be set,Befor runner start the environment variables will be set,环境变量将在启动前写入Runner,Před startem spouštěče budou nastaveny proměnné prostředí,Vor dem Start des Runners werden die Umgebungsvariablen gesetzt,"Avant le démarrage du coureur, les variables d'environnement seront définies","Antes do início do corredor, as variáveis ​​de ambiente serão definidas",ランナーが開始する前に、環境変数が設定されます,Перед запуском бігуна буде встановлено змінні середовища
